Lead_ID,Location,College,Year Of Study,Program Intrest,Lead Source
LD1,Ahmedabad,IIT Delhi,2nd,Data Science,College Colloboration
LD2,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,Instagram
LD3,Delhi,IIT Delhi,4th,Data Science,Google Form
LD4,Bangalore,VNIT Nagpur,4th,Human Resource,Instagram
LD5,Raipur,BIITS Raipur,4th,Computer Science,Linkedin
LD6,Bangalore,IIM A,3rd,Computer Science,Google Form
LD7,Ahmedabad,IIIT Hyderabad,2nd,Human Resource,Google Form
LD8,Delhi,BIITS Raipur,3rd,Finance,Instagram
LD9,Mumbai,IIM A,1st,Human Resource,Instagram
LD10,Ahmedabad,Ramdeobaba Univerisity,3rd,Finance,Linkedin
LD11,Raipur,IIM Bangalore,4th,Computer Science,Google Form
LD12,Bangalore,VNIT Nagpur,3rd,Computer Science,Linkedin
LD13,Nagpur,IIM Bangalore,3rd,Robotics,Google Form
LD14,Hyderabad,IIT Delhi,4th,Human Resource,Instagram
LD15,Nagpur,IIT Delhi,4th,Human Resource,Google Form
LD16,Ahmedabad,IIM A,2nd,Human Resource,Linkedin
LD17,Raipur,IIT Bombay,3rd,Artificial Intelligence,Linkedin
LD18,Ahmedabad,IIT Bombay,2nd,Artificial Intelligence,Whatsapp
LD19,Delhi,IIIT Hyderabad,2nd,Robotics,Linkedin
LD20,Delhi,IIM A,3rd,Artificial Intelligence,Instagram
LD21,Nagpur,BIITS Raipur,3rd,Data Science,Whatsapp
LD22,Delhi,Ramdeobaba Univerisity,3rd,Human Resource,Linkedin
LD23,Bangalore,VNIT Nagpur,2nd,Artificial Intelligence,Instagram
LD24,Nagpur,IIM Bangalore,2nd,Computer Science,Instagram
LD25,Delhi,BIITS Raipur,1st,Computer Science,Whatsapp
LD26,Delhi,BIITS Raipur,1st,Finance,Linkedin
LD27,Mumbai,BIITS Raipur,3rd,Robotics,Instagram
LD28,Delhi,BIITS Raipur,4th,Robotics,Google Form
LD29,Raipur,IIIT Hyderabad,2nd,Computer Science,Linkedin
LD30,Mumbai,IIT Bombay,4th,Robotics,Linkedin
LD31,Hyderabad,IIT Bombay,3rd,Human Resource,College Colloboration
LD32,Bangalore,IIT Delhi,3rd,Robotics,College Colloboration
LD33,Mumbai,BIITS Raipur,3rd,Robotics,Linkedin
LD34,Hyderabad,IIM Bangalore,4th,Computer Science,Google Form
LD35,Hyderabad,Ramdeobaba Univerisity,2nd,Artificial Intelligence,Google Form
LD36,Nagpur,IIM Bangalore,3rd,Computer Science,College Colloboration
LD37,Mumbai,IIT Delhi,4th,Computer Science,Google Form
LD38,Ahmedabad,IIT Bombay,2nd,Data Science,College Colloboration
LD39,Hyderabad,Ramdeobaba Univerisity,1st,Finance,Linkedin
LD40,Mumbai,IIM Bangalore,1st,Robotics,College Colloboration
LD41,Raipur,IIT Delhi,1st,Data Science,Instagram
LD42,Raipur,IIIT Hyderabad,3rd,Robotics,Instagram
LD43,Hyderabad,IIM Bangalore,2nd,Artificial Intelligence,Google Form
LD44,Ahmedabad,IIT Delhi,1st,Robotics,Whatsapp
LD45,Bangalore,IIM A,2nd,Finance,Instagram
LD46,Bangalore,VNIT Nagpur,4th,Robotics,Google Form
LD47,Mumbai,VNIT Nagpur,2nd,Artificial Intelligence,Instagram
LD48,Nagpur,IIT Bombay,3rd,Data Science,College Colloboration
LD49,Nagpur,IIM Bangalore,2nd,Artificial Intelligence,Linkedin
LD50,Hyderabad,Ramdeobaba Univerisity,2nd,Human Resource,Instagram
LD51,Ahmedabad,IIT Bombay,2nd,Human Resource,Linkedin
LD52,Hyderabad,VNIT Nagpur,2nd,Finance,Instagram
LD53,Bangalore,IIIT Hyderabad,4th,Finance,Linkedin
LD54,Ahmedabad,VNIT Nagpur,4th,Computer Science,Google Form
LD55,Ahmedabad,VNIT Nagpur,1st,Artificial Intelligence,Instagram
LD56,Hyderabad,IIIT Hyderabad,4th,Artificial Intelligence,Instagram
LD57,Delhi,IIT Delhi,3rd,Data Science,College Colloboration
LD58,Bangalore,BIITS Raipur,2nd,Artificial Intelligence,Whatsapp
LD59,Hyderabad,IIT Delhi,1st,Robotics,Whatsapp
LD60,Hyderabad,Ramdeobaba Univerisity,2nd,Finance,Linkedin
LD61,Bangalore,BIITS Raipur,3rd,Human Resource,Linkedin
LD62,Nagpur,IIM Bangalore,4th,Computer Science,College Colloboration
LD63,Hyderabad,IIT Bombay,3rd,Human Resource,Linkedin
LD64,Mumbai,Ramdeobaba Univerisity,2nd,Finance,Instagram
LD65,Bangalore,IIT Delhi,3rd,Human Resource,College Colloboration
LD66,Mumbai,IIM Bangalore,3rd,Robotics,College Colloboration
LD67,Nagpur,IIT Bombay,4th,Finance,Instagram
LD68,Ahmedabad,IIM A,4th,Human Resource,Linkedin
LD69,Delhi,VNIT Nagpur,1st,Computer Science,Google Form
LD70,Hyderabad,IIM Bangalore,3rd,Human Resource,Linkedin
LD71,Ahmedabad,Ramdeobaba Univerisity,2nd,Robotics,Google Form
LD72,Mumbai,BIITS Raipur,1st,Data Science,Whatsapp
LD73,Ahmedabad,IIIT Hyderabad,4th,Human Resource,Instagram
LD74,Mumbai,VNIT Nagpur,4th,Artificial Intelligence,Whatsapp
